Q,H,Q_ssa,H_ssa
35640.21,35586.79,35707.28580409511,35657.77293866109
35662.31,35610.81,35717.89962044015,35666.33160460838
35676.21,35644.61,35729.303461971875,35675.41394205018
35711.48,35676.21,35741.441604219406,35684.9285087834
35710.73,35675.96,35753.6374193184,35694.7125097946
35756.58,35701.48,35766.56870844641,35705.40561734579
35800.95,35702.99,35779.659900912855,35716.796259017305
35793.67,35693.71,35792.34765416736,35729.00553205939
35810.26,35759.09,35804.84001783244,35742.17693214414
35877.83,35756.59,35816.89109607509,35755.34710050997
35872.95,35817.99,35827.558520089005,35768.320727953076
35825.08,35783.42,35836.99010339619,35780.26125144065
35817.46,35774.11,35845.743544663535,35791.313473252325
35824.07,35794.9,35853.827393897256,35801.3214661584
35823.1,35800.01,35861.075925404286,35809.99757118867
35881.59,35818.66,35867.50422472221,35817.30192010119
35881.59,35820.33,35872.625419130214,35823.16114026681
35865.58,35829.51,35876.45711108197,35827.62016869123
35897.0,35860.37,35879.29572911761,35830.72217154943
35934.0,35879.06,35881.1192128281,35832.62951754223
35920.5,35866.14,35881.22812389894,35833.40413216024
35895.35,35827.81,35880.658600066345,35833.48903120331
35900.0,35835.03,35880.156935087834,35833.73713512704
35902.87,35848.82,35880.09631220522,35834.466055082965
35876.0,35820.02,35880.852766643315,35836.047245017166
35827.0,35800.95,35883.32806125566,35839.31613732698
35824.58,35802.22,35888.61609101019,35844.921244714875
35854.69,35806.67,35897.01890693963,35853.204712946404
35870.01,35836.79,35908.33834238011,35864.341521461516
35906.3,35868.09,35922.432947138775,35878.049647659114
35935.45,35900.01,35938.63034068277,35893.912712862664
35950.12,35900.0,35956.45537288813,35911.3620698495
35962.41,35934.3,35975.507983527496,35930.1460709048
35989.39,35950.0,35995.31307328473,35949.46688107957
35989.39,35944.82,36015.021972634044,35968.64044220301
36016.39,35951.26,36034.08297813978,35987.11680373417
36085.85,36013.05,36051.52533923478,36004.247855261114
36095.34,36062.01,36066.006120739796,36018.82482684796
36111.0,36025.79,36077.05655220878,36029.874041883
36128.43,36087.01,36084.231708926956,36037.55169888329
36133.56,36110.01,36087.09188889111,36040.983755614834
36134.03,36110.0,36085.627313684316,36039.94466882462
36134.03,36115.0,36079.99089370295,36034.63815009507
36124.48,36016.38,36070.47125431606,36025.28586573464
36070.45,35998.78,36057.56792651558,36013.46082155726
36004.56,35982.01,36042.49495614682,35999.85779114637
35984.86,35962.4,36026.704745629344,35985.19568993258
35982.18,35962.4,36010.86711805563,35970.1589382247
35962.4,35917.87,35995.342525518055,35955.158218590295
35965.79,35930.01,35980.7323919581,35941.05597408052
35925.43,35896.43,35967.18284009537,35927.95596995348
35935.45,35895.95,35955.351823918165,35916.445696180795
35909.13,35878.97,35945.16452363993,35906.70267736244
35925.58,35866.41,35936.98867204817,35898.9010035082
35958.74,35926.11,35930.445770307604,35893.06492725272
35961.0,35926.02,35924.8950274954,35888.272175137856
35935.45,35898.01,35920.02514418915,35884.229851422526
35935.45,35877.79,35915.804767238835,35880.929857785275
35891.17,35864.35,35911.92789488887,35878.25784028985
35902.03,35870.02,35908.661504319156,35876.106854359
35891.66,35864.03,35905.491167623855,35874.01809050953
35908.51,35861.38,35902.261812007375,35871.681116208674
