Q,H,Q_ssa,H_ssa
35347.39,35235.06,35343.00354207652,35237.73366934757
35427.01,35261.5,35343.538197709335,35239.74813139317
35427.01,35320.89,35340.46582149024,35241.01346324327
35347.39,35241.51,35336.518528838635,35240.48049329871
35294.41,35241.51,35334.5520505425,35241.64357250452
35287.95,35188.69,35334.478797189025,35243.70005399112
35320.89,35230.86,35335.66891890322,35247.30099249056
35302.51,35215.09,35336.80118080385,35250.98186310129
35215.09,35188.69,35338.027474157134,35254.9223815215
35287.95,35203.02,35340.320970556786,35259.142881497806
35334.11,35235.06,35342.13372359895,35263.14142942763
35400.45,35314.44,35342.76249739891,35266.37519411866
35427.01,35314.44,35341.47697950427,35267.90409126689
35400.45,35340.94,35338.16959463585,35267.90843123335
35400.45,35320.89,35333.454216605875,35266.29362625888
35320.89,35294.41,35327.46552610168,35263.347033824764
35320.89,35241.51,35321.04258935693,35259.47296026278
35287.65,35241.51,35314.29026886437,35255.24897014572
35294.41,35234.91,35307.51285561335,35250.730986230126
35314.43,35235.06,35300.70793232821,35245.943541076005
35267.95,35231.09,35291.64340000938,35239.281421216045
35263.79,35221.55,35282.171977100894,35231.84692321373
35257.79,35215.09,35271.985894872625,35223.4915638738
35232.94,35188.69,35261.04722092639,35213.99689032146
35267.95,35196.05,35249.66572432088,35203.60409286179
35226.47,35188.69,35237.40423170921,35192.08050344344
35241.51,35208.39,35224.609898644834,35179.37166797271
35215.09,35162.31,35210.8282237334,35164.98709346524
35190.21,35162.31,35196.23826519175,35149.40229889883
35200.0,35155.86,35181.27493412101,35132.5241905547
35188.69,35135.95,35165.536884749905,35114.43127063825
35188.69,35146.12,35149.12152193697,35095.36762038566
35188.69,35113.62,35132.06173496352,35075.270043716824
35123.26,35083.28,35114.557743902595,35054.97124354369
35121.28,35083.28,35097.87663773281,35035.21027319948
35088.68,35023.03,35082.35037841579,35016.4306346456
35039.98,34945.54,35068.78160657418,34999.83420932649
35004.45,34892.42,35058.01379243349,34986.821516517724
34951.99,34890.31,35050.78150255549,34978.29704265263
34978.21,34873.44,35047.77540016349,34974.41928804364
35004.45,34919.34,35048.59691110982,34975.45895214942
35056.99,34983.51,35052.88753331078,34980.54889071947
35056.99,35003.69,35059.56297352235,34988.4785336863
35083.29,35034.49,35068.09718290563,34998.35083994321
35037.25,34996.24,35077.55099732941,35009.05781185398
35083.29,35030.71,35087.811658841034,35020.30414899905
35109.61,35035.81,35097.77885769505,35030.9602273648
35162.31,35056.98,35106.434450980676,35040.17106984019
35143.0,35097.29,35112.5680639834,35047.196366163196
35182.23,35076.84,35116.08800793865,35051.05771063309
35169.92,35105.83,35116.18695804022,35051.67416299782
35138.96,35103.16,35112.80056733755,35048.47111686242
35108.68,35030.7,35106.22971993504,35041.39756218803
35071.72,35024.26,35096.76902132167,35031.46636504302
35059.44,35024.26,35085.10157996043,35019.08488291118
35083.29,35026.86,35071.71430531714,35004.60093907407
35092.08,35021.05,35056.661131485285,34988.47133254238
35049.49,35004.44,35040.119902299804,34971.20474528297
35055.28,34951.98,35022.853982268396,34953.27843312522
34988.85,34847.3,35004.89476936718,34935.47529095134
34899.61,34847.3,34987.12463252288,34919.22033185139
34899.61,34821.17,34970.83026230251,34904.455840986164
34925.79,34862.39,34955.81257114709,34891.28595979287
34951.99,34900.07,34941.55074704885,34878.9010409508
34978.21,34919.34,34927.4901959978,34866.49700432723
34925.79,34873.44,34913.0329445712,34853.546624944414
34929.71,34898.3,34898.619332523245,34840.33223762654
34914.79,34840.86,34883.99897589883,34826.28419014963
34873.45,34802.51,34869.07093096033,34811.95328377595
34815.0,34795.07,34854.17854796342,34797.54135760126
34821.86,34795.07,34839.91530500671,34783.03080638173
34819.68,34788.51,34826.07269065756,34768.28309392346
34873.45,34809.81,34812.68435890603,34753.42873030362
34873.45,34742.91,34798.95071451917,34738.23700122152
34772.71,34690.83,34784.97418849576,34723.68049170585
34698.8,34638.82,34772.183830308495,34710.5315399212
34690.82,34629.67,34761.56444476614,34699.56110394821
34717.07,34673.28,34753.23828304816,34690.9961975529
34768.97,34702.8,34746.971405969234,34684.39637429359
34783.92,34710.46,34742.058689763675,34679.54422479574
34718.36,34664.82,34738.37555733646,34676.482967273936
34734.89,34664.82,34737.00790849662,34675.71085125177
34742.9,34682.08,34737.59768829497,34677.14607461189
34716.85,34686.0,34739.837299955216,34680.283611231855
34768.97,34709.11,34743.63343460176,34684.678863499175
34742.9,34691.03,34747.85184652524,34689.63268689078
34705.36,34664.82,34752.55144684718,34695.0567828556
34716.85,34638.82,34757.81180284434,34700.89361791616
34768.97,34684.44,34763.226525958366,34707.20916281513
34768.97,34713.72,34767.82866254963,34713.02627379062
34788.65,34736.5,34771.32779097652,34717.6460514627
34775.6,34710.46,34773.06303483655,34720.379954046795
34814.75,34768.45,34772.78196551745,34721.2604928339
34789.43,34752.33,34769.65584368735,34719.39818488483
34786.5,34745.42,34764.043513239005,34714.88400848583
34795.06,34753.69,34755.96467478946,34707.71951465979
34789.0,34745.96,34745.27011453098,34697.640562809946
34757.44,34716.86,34731.95430193516,34684.71180757058
34729.26,34664.82,34716.520716572966,34669.295256432015
34716.85,34638.82,34699.3951735589,34652.09224514291
34638.82,34612.85,34680.86119139,34633.46810252842
34612.85,34560.97,34662.254813317675,34613.962787709585
34560.97,34535.06,34643.837935851916,34594.39513491935
34612.85,34560.97,34626.299237251966,34575.055828755976
34623.9,34572.13,34608.94503586052,34555.692754251104
34628.77,34583.98,34591.561897240535,34536.205237111295
34638.82,34550.01,34574.2571526002,34516.65167143785
34563.17,34509.17,34556.9825059931,34497.55284872652
34519.8,34509.17,34540.870838294664,34479.67491872508
34514.0,34457.44,34526.64619504798,34463.172479031826
34509.17,34457.44,34514.52111389771,34448.908986670845
34554.61,34457.44,34504.7595721232,34437.115199554915
34509.17,34347.9,34496.97668991303,34428.04565029868
34405.81,34364.07,34491.86098702523,34423.24848268009
34457.45,34373.67,34491.085257068,34422.76099749482
34502.81,34448.09,34494.00121663196,34426.540707455504
34535.06,34440.11,34500.03858196784,34433.561463697035
34481.21,34406.83,34508.69702463661,34443.8232287231
34457.45,34412.01,34520.69041438778,34457.57800964193
34457.45,34457.45,34535.99178697007,34474.410938118504
34457.45,34457.45,34554.15906142253,34493.25138381498
34560.97,34457.45,34574.80219831642,34513.463997443825
34612.85,34559.8,34595.8122688136,34534.38256768985
